Title	Genre	Run Time (min)	Friends
Midsommar	Horror	148	4
Hello Dolly	Musical	146	1
The Longest Ride	Romance	139	2
Harry Potter and the Order of the Phoenix	Fantasy	138	10
Get Out	Horror	104	7
Inception	Action	148	5
Speed	Action	116	2
Iron Man	Action	126	9
A Walk to Remember	Romance	102	2
Moonlight	Drama	111	4
The Fast and the Furious	Action	106	8
Oppenheimer	Historical	180	10
La La Land	Musical	128	5
Mamma Mia!	Musical	108	4
The Photograph	Romance	106	1
Just Wright	Romance	100	2
IT	Horror	135	5
Maleficent	Fantasy	97	2
Everything Everywhere All At Once	Drama	139	10
Up	Family	100	3
Barbie	Comedy	114	2
Frozen	Family	100	1
Tangled	Family	100	1
Kung Fu Panda	Family	110	1
Angry Birds	Family	105	1
